X1,Y1,X2,Y2,X3,Y3
1,0.41,1,0.41,1,0.58
2,0.71,2,0.54,2,0.71
3,2.54,3,0.66,3,1.0
4,2.78,4,1.06,4,1.23
5,3.46,5,1.74,5,1.92
6,8.85,6,7.99,6,8.16
7,13.23,7,12.55,7,12.72
8,17.44,8,16.41,8,16.41
9,20.67,9,19.65,9,18.79
10,28.71,10,29.06,10,23.23
12,31.32,12,31.15,12,24.98
14,32.61,14,31.92,14,25.76
16,33.61,16,32.93,16,27.27
18,34.67,18,33.98,18,28.5
20,34.66,20,34.15,20,28.32
23,35.11,23,34.6,23,29.63
26,36.51,26,36.17,26,31.55
29,37.69,29,37.35,29,32.21
30,38.33,30,38.33,30,32.51
33,39.41,33,38.55,33,33.07
35,40.99,35,39.96,35,34.82
38,42.44,38,40.38,38,36.62
41,43.17,41,39.4,41,37.86
43,43.53,43,38.74,43,37.54
46,45.41,46,37.54,46,40.28
49,49.4,49,37.24,49,45.12
51,61.67,51,36.67,51,47.11
55,72.38,55,34.53,55,50.11
58,73.9,58,35.7,58,68.76
60,89.22,60,37.32,60,73.8
61,106.74,61,40.11,61,83.44
63,131.52,63,49.47,63,108.22
65,134.3,65,53.8,65,116.32
67,145.16,67,65.0,67,128.89
68,173.45,68,100.14,68,122.92
70,192.3,70,118.98,70,157.18
73,207.71,73,130.97,73,174.31
76,222.79,76,148.62,76,190.58
79,237.17,79,176.02,79,205.14
80,247.62,80,191.44,80,216.28
83,258.76,83,225.7,83,226.55
86,269.03,86,242.83,86,236.83
89,279.31,89,253.1,89,253.96
92,289.59,92,277.08,92,264.24
95,299.87,95,292.5,95,272.8
99,310.14,99,301.41,99,281.71
102,318.71,102,310.32,102,290.79
104,327.27,104,319.57,104,300.04
107,335.84,107,328.3,107,309.46
109,344.4,109,347.04,109,318.02
112,353.82,112,355.6,112,356.59
113,362.39,113,364.17,113,365.15
114,378.95,114,372.73,114,367.72
115,379.95,115,381.3,115,372.28
